street_name;houses;okato
;;
Зеленый проезд;1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11/1, 11/2, 11/3, 12, 13/1, 13/2, 14, 15, 16, 17, 18, 20, 22, 24, 26, 26А, 28, 3/1, 3А/1, 3А/2, 3Б/1, 3Б/2, 7/3, 9/1, 9/2, 9/3;75438375000
;;
пр-кт Карла Маркса;50/1 стр 1;75438369000
пр-кт Карла Маркса;27, 27/1, 29, 30, 31, 31/1, 31А, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 45/1, 45/2, 45/3, 45/4, 45/5, 46, 47, 47/1, 47/10, 47/2, 47/3, 48, 49, 50, 50 стр 1, 50 стр 2, 50/1, 50/2, 50/3, 51, 52, 52 стр 1, 53, 54, 56, 58, 60, 60/2, 60А, 62, 64, 64/1, 64/8, 66, 68, 70, 72;75438369000
пр-кт Карла Маркса;10, 12, 12/1, 12/2, 13, 14, 15, 16, 16/1, 16/2, 17, 18, 18/1, 6, 8, 20, 22, 22/8, 22А, 23, 24, 25, 8/1;75438372000
пр-кт Карла Маркса;343, 345;75438369000
пр-кт Карла Маркса;210, 210/8, 212, 216, 216/1, 218, 218/1, 218/2, 218/3, 218/8, 220, 220/1, 220/2, 220/2 стр 1, 220/2 стр 2, 221, 221 стр 1, 222, 222/8, 223, 224, 225, 226, 227, 228, 229, 229/1, 230, 230/1, 230/2, 230/7, 230/8, 231, 231/1, 231/2, 231/3, 231/7, 231/9, 233, 235, 237/2;75438369000
пр-кт Карла Маркса;185, 185А, 185Б, 185В, 185Г, 185Д, 187, 187А, 187Б, 189, 189/1, 191, 191/1, 191/8, 193, 197, 199А;75438369000
пр-кт Карла Маркса;55, 55/1, 55А, 57, 57/1, 57/2, 59, 61, 61/1, 61/8, 63, 63/1, 63/2, 63/3, 65, 65/8, 67, 67/1, 67/2, 69, 69/1, 69/2, 71, 71/1, 71/2, 71/8, 73, 73/1, 74, 74 стр 2, 74/1, 75, 76, 78, 78/1, 78/8, 78А, 80, 82, 82/1, 82/2, 82А;75438372000
пр-кт Карла Маркса;100/8, 100А, 102/1, 102А, 104/1, 104/8, 86, 88, 88/1, 88/8, 90, 90А, 92, 92/1, 92/8, 94, 94А, 96, 100, 102, 104, 106, 96/1, 98, 98А;75438375000
